Time,Humidity,Temperature,BMP_temperature,Pressure
00:00:00,84.810,28.190,27.410,100349.714
00:10:00,84.211,28.789,27.400,100341.053
00:20:00,84.150,28.850,27.380,100333.900
00:30:00,84.158,28.842,27.321,100321.474
00:40:00,84.316,28.684,27.300,100303.684
00:50:00,84.250,28.750,27.260,100298.600
01:00:00,81.158,28.474,27.200,100287.895
01:10:00,84.700,28.300,27.185,100277.750
01:20:00,84.737,28.263,27.111,100274.632
01:30:00,84.800,28.200,27.100,100275.050
01:40:00,84.895,27.263,27.042,100269.895
01:50:00,85.000,28.000,27.000,100268.800
02:00:00,84.947,28.053,26.989,100271.368
02:10:00,85.000,28.000,26.920,100270.100
02:20:00,85.000,28.000,26.900,100266.684
02:30:00,85.000,28.000,26.900,100261.150
02:40:00,85.000,28.000,26.832,100259.053
02:50:00,85.000,28.000,26.800,100254.150
03:00:00,83.895,28.000,26.726,100256.579
03:10:00,84.300,28.000,26.700,100253.700
03:20:00,83.947,28.000,26.700,100255.053
03:30:00,83.900,28.000,26.650,100256.500
03:40:00,83.842,28.000,26.600,100262.737
03:50:00,84.200,28.000,26.600,100260.750
04:00:00,84.211,28.000,26.553,100263.789
04:10:00,84.947,28.000,26.500,100265.474
04:20:00,84.950,28.000,26.480,100269.750
04:30:00,85.000,28.000,26.400,100266.526
04:40:00,85.000,28.000,26.400,100272.500
04:50:00,85.000,28.000,26.395,100295.368
05:00:00,85.000,28.000,26.310,100302.700
05:10:00,85.000,28.000,26.300,100309.842
05:20:00,85.000,28.000,26.300,100319.300
05:30:00,84.947,28.000,26.226,100329.421
05:40:00,85.000,28.000,26.200,100347.000
05:50:00,85.000,28.000,26.195,100356.263
06:00:00,85.000,28.000,26.165,100364.100
06:10:00,85.000,28.000,26.100,100362.053
06:20:00,85.000,28.000,26.100,100368.800
06:30:00,85.000,27.947,26.042,100376.895
06:40:00,85.000,27.842,26.011,100385.684
06:50:00,85.000,27.900,26.000,100389.950
07:00:00,85.000,27.789,26.000,100385.526
07:10:00,85.000,27.650,26.000,100395.000
07:20:00,85.000,27.474,26.000,100405.579
07:30:00,85.000,27.450,26.005,100418.400
07:40:00,85.000,27.684,26.026,100427.000
07:50:00,85.000,27.526,26.037,100428.368
08:00:00,85.000,27.450,26.095,100439.700
08:10:00,85.000,27.789,26.100,100448.474
08:20:00,85.000,27.550,26.130,100454.600
08:30:00,85.000,27.632,26.221,100464.368
08:40:00,84.947,27.368,26.300,100466.895
08:50:00,85.000,27.150,26.365,100473.000
09:00:00,85.000,27.421,26.479,100477.368
09:10:00,85.000,27.450,26.565,100477.400
09:20:00,85.000,27.421,26.621,100476.947
09:30:00,85.000,27.526,26.800,100474.895
09:40:00,85.000,27.950,27.025,100475.750
09:50:00,85.000,28.000,27.242,100468.421
10:00:00,85.000,28.000,27.370,100457.450
10:10:00,85.000,28.000,27.426,100454.526
10:20:00,85.000,28.000,27.489,100448.368
10:30:00,85.000,28.000,27.390,100434.950
10:40:00,85.000,28.000,27.405,100421.474
10:50:00,85.000,28.000,27.575,100400.050
11:00:00,84.789,28.211,27.700,100399.421
11:10:00,84.900,28.100,27.715,100380.950
11:20:00,84.789,28.211,27.800,100367.579
11:30:00,84.800,28.200,27.845,100352.850
11:40:00,84.579,28.421,27.868,100337.474
11:50:00,84.600,28.400,27.805,100322.400
12:00:00,84.632,28.368,27.847,100308.842
12:10:00,84.200,28.800,28.020,100292.800
12:20:00,84.158,28.842,28.068,100280.842
12:30:00,84.000,29.000,28.180,100256.500
12:40:00,84.000,29.000,28.221,100240.632
12:50:00,84.000,29.000,28.326,100224.316
13:00:00,84.000,29.050,28.425,100209.850
13:10:00,84.000,29.000,28.437,100197.789
13:20:00,84.000,29.100,28.500,100176.100
13:30:00,84.000,29.368,28.632,100158.263
13:40:00,83.200,29.100,28.730,100140.700
13:50:00,84.000,29.789,28.916,100119.842
14:00:00,84.000,30.000,29.145,100106.300
14:10:00,84.000,29.947,29.195,100088.211
14:20:00,84.000,30.000,29.137,100064.158
14:30:00,84.000,30.000,29.165,100047.700
14:40:00,84.000,30.000,29.468,100033.000
14:50:00,84.000,30.000,29.425,100014.750
15:00:00,84.000,30.000,29.421,100010.526
15:10:00,84.000,30.000,29.525,100008.500
15:20:00,84.000,30.000,29.621,100006.105
15:30:00,84.000,30.000,29.630,100008.700
15:40:00,83.895,30.000,30.079,100005.000
15:50:00,84.000,30.000,29.742,100007.789
16:00:00,84.000,30.000,29.650,100017.300
16:10:00,84.000,30.000,29.463,100023.632
16:20:00,84.000,30.000,29.375,100023.850
16:30:00,84.000,30.000,29.295,100028.263
16:40:00,84.000,30.000,29.225,100034.300
16:50:00,84.000,30.000,29.263,100044.842
17:00:00,84.000,29.900,29.235,100051.650
17:10:00,84.000,30.000,29.516,100050.421
17:20:00,84.000,30.000,29.355,100053.700
17:30:00,84.000,30.000,29.200,100064.000
17:40:00,84.000,30.000,29.116,100073.526
17:50:00,84.000,30.000,29.100,100077.150
18:00:00,84.000,30.000,29.063,100079.842
18:10:00,84.000,30.000,29.000,100088.600
18:20:00,84.000,30.000,29.000,100089.526
18:30:00,84.000,30.000,28.965,100095.300
18:40:00,84.000,30.000,28.895,100103.632
18:50:00,84.000,30.000,28.825,100112.550
19:00:00,84.000,30.000,28.837,100113.632
19:10:00,84.000,30.000,28.800,100122.100
19:20:00,84.000,30.000,28.779,100130.211
19:30:00,84.000,30.000,28.700,100142.800
19:40:00,84.000,30.000,28.705,100158.737
19:50:00,84.000,30.000,28.689,100174.316
20:00:00,84.000,30.000,28.600,100187.350
20:10:00,84.000,30.000,28.568,100197.789
20:20:00,84.000,29.950,28.490,100218.750
20:30:00,84.000,29.947,28.479,100237.842
20:40:00,84.000,29.900,28.400,100254.150
20:50:00,84.000,29.789,28.395,100269.474
21:00:00,84.000,29.800,28.395,100275.650
21:10:00,84.000,29.842,28.400,100280.526
21:20:00,84.000,29.789,28.358,100288.526
21:30:00,84.000,29.450,28.300,100292.550
21:40:00,84.000,29.526,28.253,100296.053
21:50:00,84.000,29.350,28.205,100304.550
22:00:00,84.000,29.263,28.132,100312.421
22:10:00,84.000,29.000,28.035,100317.200
22:20:00,84.000,29.000,28.005,100313.842
22:30:00,84.000,29.000,27.960,100306.350
22:40:00,84.000,29.000,27.900,100305.158
22:50:00,84.000,29.000,27.900,100301.474
23:00:00,84.000,29.000,27.855,100301.100
23:10:00,84.000,29.000,27.805,100306.947
23:20:00,84.000,29.000,27.800,100312.650
23:30:00,84.000,29.000,27.711,100305.526
23:40:00,84.000,29.000,27.700,100303.200
23:50:00,84.056,28.944,27.678,100303.667
