Time,Humidity,Temperature,BMP_temperature,Pressure
00:00:19,30.0,29.0,27.6,101039
00:00:53,27.0,29.0,27.7,101034
00:01:26,28.0,29.0,27.6,101042
00:01:57,27.0,29.0,27.6,101035
00:02:28,30.0,29.0,27.6,101029
00:02:58,30.0,29.0,27.6,101031
00:03:29,29.0,29.0,27.6,101041
00:04:00,29.0,29.0,27.6,101038
00:04:35,27.0,29.0,27.6,101037
00:05:06,22.0,29.0,27.6,101038
00:05:36,29.0,29.0,27.6,101039
00:06:07,30.0,29.0,27.6,101043
00:06:38,29.0,29.0,27.6,101046
00:07:08,29.0,29.0,27.6,101042
00:07:40,29.0,29.0,27.6,101036
00:08:15,27.0,29.0,27.5,101028
00:08:45,27.0,29.0,27.5,101036
00:09:16,30.0,29.0,27.5,101036
00:09:47,29.0,29.0,27.5,101032
00:10:17,30.0,29.0,27.5,101031
00:10:48,27.0,29.0,27.5,101033
00:11:18,30.0,29.0,27.5,101033
00:11:49,28.0,29.0,27.5,101039
00:12:20,29.0,29.0,27.5,101036
00:12:50,30.0,29.0,27.6,101044
00:13:21,27.0,29.0,27.5,101033
00:13:52,29.0,29.0,27.5,101035
00:14:23,29.0,29.0,27.5,101034
00:14:54,27.0,29.0,27.5,101032
00:15:24,30.0,29.0,27.5,101032
00:15:55,29.0,29.0,27.5,101046
00:16:26,28.0,29.0,27.5,101030
00:16:56,29.0,29.0,27.5,101043
00:17:27,29.0,29.0,27.5,101042
00:17:57,29.0,29.0,27.5,101038
00:18:28,29.0,29.0,27.5,101030
00:18:59,29.0,29.0,27.5,101036
00:19:29,30.0,29.0,27.5,101036
00:20:00,30.0,29.0,27.5,101033
00:20:32,27.0,29.0,27.5,101037
00:21:02,27.0,29.0,27.5,101033
00:21:33,29.0,28.0,27.5,101032
00:22:05,27.0,29.0,27.5,101031
00:22:36,31.0,28.0,27.5,101031
00:23:07,27.0,29.0,27.5,101020
00:23:37,28.0,29.0,27.5,101024
00:24:08,28.0,29.0,27.5,101025
00:24:39,28.0,29.0,27.4,101026
00:25:09,29.0,28.0,27.5,101022
00:25:40,28.0,29.0,27.4,101020
00:26:11,29.0,29.0,27.4,101027
00:26:41,27.0,29.0,27.4,101024
00:27:14,27.0,29.0,27.4,101022
00:27:44,22.0,29.0,27.5,101018
00:28:15,29.0,29.0,27.5,101013
00:28:46,27.0,29.0,27.5,101033
00:29:17,28.0,29.0,27.5,101019
00:29:47,28.0,29.0,27.5,101029
00:30:18,28.0,29.0,27.5,101027
00:30:49,28.0,29.0,27.5,101025
00:31:20,29.0,28.0,27.5,101025
00:31:50,27.0,29.0,27.5,101025
00:32:21,28.0,29.0,27.5,101025
00:32:52,29.0,29.0,27.5,101024
00:33:22,28.0,29.0,27.5,101022
00:33:53,28.0,29.0,27.5,101021
00:34:24,28.0,29.0,27.5,101023
00:34:54,29.0,29.0,27.5,101031
00:35:25,28.0,29.0,27.5,101025
00:35:56,29.0,28.0,27.5,101020
00:36:26,29.0,29.0,27.5,101025
00:36:57,27.0,29.0,27.5,101028
00:37:28,28.0,29.0,27.5,101021
00:37:58,28.0,29.0,27.5,101020
00:38:29,29.0,28.0,27.5,101028
00:39:00,28.0,29.0,27.5,101024
00:39:30,27.0,29.0,27.5,101018
00:40:02,27.0,29.0,27.5,101012
00:40:33,23.0,29.0,27.5,101017
00:41:03,29.0,28.0,27.4,101007
00:41:34,29.0,28.0,27.4,101007
00:42:05,28.0,28.0,27.5,101012
00:42:35,29.0,28.0,27.4,101009
00:43:07,28.0,28.0,27.5,101017
00:43:38,28.0,29.0,27.4,101009
00:44:08,28.0,28.0,27.4,101001
00:44:39,28.0,29.0,27.4,101009
00:45:10,28.0,29.0,27.4,101016
00:45:40,29.0,28.0,27.4,101012
00:46:11,28.0,29.0,27.4,101011
00:46:47,20.0,28.0,27.4,101008
00:47:18,28.0,29.0,27.4,101013
00:47:48,27.0,29.0,27.4,101012
00:48:19,30.0,28.0,27.4,101013
00:48:50,28.0,29.0,27.4,101009
00:49:21,28.0,28.0,27.4,101012
00:49:51,29.0,28.0,27.4,101006
00:50:22,28.0,29.0,27.4,101013
00:50:53,29.0,28.0,27.4,101007
00:51:23,28.0,28.0,27.4,101015
00:51:54,29.0,28.0,27.4,101011
00:52:26,28.0,28.0,27.4,101006
00:52:57,22.0,28.0,27.4,101009
00:53:27,28.0,29.0,27.4,101006
00:53:59,29.0,28.0,27.4,101015
00:54:29,29.0,28.0,27.4,101009
00:55:00,28.0,28.0,27.4,101005
00:55:31,29.0,28.0,27.4,101016
00:56:03,24.0,28.0,27.4,101006
00:56:34,28.0,28.0,27.4,101010
00:57:05,25.0,28.0,27.4,101005
00:57:35,29.0,28.0,27.4,101009
00:58:07,29.0,28.0,27.4,101009
00:58:37,28.0,28.0,27.4,101017
00:59:08,28.0,28.0,27.4,101013
00:59:40,28.0,28.0,27.4,101004
01:00:10,23.0,28.0,27.4,100999
01:00:42,27.0,28.0,27.4,101006
01:01:13,23.0,28.0,27.3,100999
01:01:43,28.0,28.0,27.3,101006
01:02:14,28.0,28.0,27.3,101006
01:02:45,28.0,28.0,27.3,101006
01:03:15,29.0,28.0,27.3,101006
01:03:46,29.0,28.0,27.3,100999
01:04:17,28.0,29.0,27.3,100998
01:04:47,28.0,28.0,27.4,101002
01:05:18,28.0,28.0,27.3,100998
01:05:49,29.0,28.0,27.3,100998
01:06:20,28.0,28.0,27.3,100999
01:06:50,28.0,28.0,27.3,101006
01:07:21,29.0,28.0,27.4,100999
01:07:52,29.0,28.0,27.3,100999
01:08:22,29.0,28.0,27.4,100999
01:08:53,29.0,28.0,27.3,101003
01:09:24,29.0,28.0,27.3,100999
01:09:54,28.0,28.0,27.3,100995
01:10:25,28.0,28.0,27.3,100998
01:10:56,29.0,28.0,27.3,100995
01:11:26,29.0,28.0,27.3,100996
01:11:57,28.0,28.0,27.3,100988
01:12:27,28.0,28.0,27.3,100991
01:12:58,29.0,28.0,27.3,100985
01:13:29,29.0,28.0,27.3,100990
01:13:59,28.0,28.0,27.3,100987
01:14:30,28.0,28.0,27.3,100990
01:15:01,28.0,28.0,27.3,100991
01:15:31,28.0,28.0,27.3,100991
01:16:02,28.0,28.0,27.3,100985
01:16:33,29.0,28.0,27.3,100990
01:17:03,28.0,28.0,27.3,100987
01:17:35,28.0,28.0,27.3,100985
01:18:06,22.0,28.0,27.3,100985
01:18:36,28.0,28.0,27.3,100988
01:19:07,29.0,28.0,27.3,100981
01:19:38,28.0,28.0,27.3,100969
01:20:08,29.0,28.0,27.3,100972
01:20:42,21.0,28.0,27.3,100979
01:21:12,22.0,28.0,27.3,100977
01:21:45,23.0,28.0,27.3,100985
01:22:15,20.0,28.0,27.3,100984
01:22:46,29.0,28.0,27.3,100973
01:23:17,29.0,28.0,27.3,100973
01:23:47,28.0,28.0,27.3,100974
01:24:18,28.0,28.0,27.3,100977
01:24:48,28.0,28.0,27.3,100978
01:25:21,24.0,28.0,27.3,100976
01:25:51,21.0,28.0,27.3,100973
01:26:22,28.0,28.0,27.3,100975
01:26:53,29.0,28.0,27.3,100976
01:27:23,29.0,28.0,27.3,100978
01:27:54,29.0,28.0,27.3,100979
01:28:25,29.0,28.0,27.3,100969
01:28:55,29.0,28.0,27.3,100971
01:29:26,29.0,28.0,27.3,100971
01:29:57,29.0,28.0,27.3,100962
01:30:27,29.0,28.0,27.3,100963
01:30:58,29.0,28.0,27.3,100967
01:31:29,28.0,28.0,27.3,100966
01:32:00,30.0,28.0,27.3,100972
01:32:30,28.0,28.0,27.3,100968
01:33:01,28.0,28.0,27.3,100974
01:33:34,22.0,29.0,27.3,100984
01:34:04,23.0,28.0,27.3,100973
01:34:35,28.0,28.0,27.3,100973
01:35:06,29.0,28.0,27.3,100983
01:35:36,28.0,28.0,27.3,100983
01:36:07,29.0,28.0,27.3,100976
01:36:38,29.0,28.0,27.3,100972
01:37:08,28.0,28.0,27.3,100974
01:37:39,28.0,28.0,27.2,100975
01:38:10,29.0,28.0,27.3,100972
01:38:40,29.0,28.0,27.2,100979
01:39:11,29.0,28.0,27.3,100973
01:39:42,29.0,28.0,27.2,100966
01:40:12,29.0,28.0,27.3,100960
01:40:43,28.0,28.0,27.2,100962
01:41:14,28.0,28.0,27.2,100960
01:41:44,29.0,28.0,27.2,100964
01:42:15,29.0,28.0,27.2,100964
01:42:46,29.0,28.0,27.2,100965
01:43:16,29.0,28.0,27.2,100961
01:43:48,28.0,28.0,27.3,100963
01:44:19,26.0,28.0,27.3,100963
01:44:49,29.0,28.0,27.3,100956
01:45:20,29.0,28.0,27.3,100960
01:45:51,29.0,28.0,27.3,100962
01:46:21,29.0,28.0,27.2,100957
01:46:52,29.0,28.0,27.2,100951
01:47:24,28.0,28.0,27.3,100956
01:47:54,24.0,28.0,27.2,100962
01:48:25,29.0,28.0,27.2,100958
01:48:56,29.0,28.0,27.2,100949
01:49:26,29.0,28.0,27.2,100955
01:49:57,28.0,28.0,27.2,100946
01:50:29,28.0,28.0,27.2,100946
01:50:59,23.0,28.0,27.2,100944
01:51:30,28.0,28.0,27.2,100949
01:52:00,28.0,28.0,27.2,100950
01:52:31,29.0,28.0,27.2,100945
01:53:02,29.0,28.0,27.2,100954
01:53:32,29.0,28.0,27.2,100946
01:54:03,29.0,28.0,27.2,100951
01:54:40,17.0,28.0,27.2,100944
01:55:11,29.0,28.0,27.2,100946
01:55:42,28.0,28.0,27.2,100953
01:56:12,28.0,28.0,27.2,100942
01:56:43,28.0,28.0,27.2,100946
01:57:13,29.0,28.0,27.2,100952
01:57:44,28.0,28.0,27.2,100953
01:58:15,29.0,28.0,27.2,100947
01:58:45,28.0,28.0,27.2,100947
01:59:16,29.0,28.0,27.2,100947
01:59:47,28.0,28.0,27.2,100949
02:00:18,23.0,28.0,27.2,100951
02:00:50,28.0,28.0,27.2,100941
02:01:20,23.0,28.0,27.2,100947
02:01:51,29.0,28.0,27.2,100942
02:02:22,29.0,28.0,27.2,100945
02:02:53,30.0,28.0,27.2,100950
02:03:23,28.0,28.0,27.2,100940
02:03:54,29.0,28.0,27.2,100944
02:04:25,29.0,28.0,27.2,100941
02:04:55,30.0,28.0,27.2,100937
02:05:26,28.0,28.0,27.2,100948
02:05:57,30.0,28.0,27.2,100949
02:06:27,29.0,28.0,27.2,100935
02:06:58,29.0,28.0,27.2,100944
02:07:29,29.0,28.0,27.2,100941
02:08:00,30.0,28.0,27.2,100943
02:08:32,28.0,28.0,27.2,100941
02:09:03,28.0,28.0,27.1,100937
02:09:33,29.0,28.0,27.1,100938
02:10:04,29.0,28.0,27.2,100932
02:10:35,29.0,28.0,27.1,100930
02:11:05,29.0,28.0,27.1,100932
02:11:36,29.0,28.0,27.1,100941
02:12:07,28.0,28.0,27.1,100945
02:12:37,29.0,28.0,27.1,100944
02:13:08,29.0,28.0,27.1,100940
02:13:39,28.0,28.0,27.1,100936
02:14:09,29.0,28.0,27.1,100944
02:14:40,29.0,28.0,27.1,100936
02:15:12,28.0,28.0,27.1,100941
02:15:43,23.0,28.0,27.1,100935
02:16:14,29.0,28.0,27.1,100934
02:16:45,28.0,28.0,27.1,100928
02:17:16,28.0,28.0,27.1,100932
02:17:49,24.0,28.0,27.1,100936
02:18:19,23.0,28.0,27.1,100934
02:18:50,28.0,28.0,27.1,100936
02:19:21,29.0,28.0,27.1,100942
02:19:51,29.0,28.0,27.1,100936
02:20:23,28.0,28.0,27.1,100943
02:20:54,24.0,28.0,27.1,100931
02:21:24,28.0,28.0,27.1,100942
02:21:55,29.0,28.0,27.1,100938
02:22:26,29.0,28.0,27.1,100933
02:22:56,29.0,28.0,27.1,100932
02:23:27,29.0,28.0,27.1,100934
02:23:58,29.0,28.0,27.1,100924
02:24:28,29.0,28.0,27.1,100924
02:24:59,29.0,28.0,27.1,100924
02:25:30,29.0,28.0,27.1,100922
02:26:02,28.0,28.0,27.1,100926
02:26:32,21.0,28.0,27.1,100924
02:27:04,29.0,28.0,27.1,100929
02:27:34,28.0,28.0,27.1,100929
02:28:05,29.0,28.0,27.1,100926
02:28:36,24.0,28.0,27.1,100929
02:29:06,29.0,28.0,27.1,100928
02:29:37,28.0,28.0,27.1,100918
02:30:08,29.0,28.0,27.1,100920
02:30:39,30.0,28.0,27.1,100919
02:31:09,28.0,28.0,27.1,100922
02:31:40,29.0,28.0,27.1,100919
02:32:12,28.0,28.0,27.1,100910
02:32:43,29.0,28.0,27.1,100913
02:33:14,27.0,28.0,27.1,100912
02:33:44,29.0,28.0,27.1,100905
02:34:15,30.0,28.0,27.1,100913
02:34:46,28.0,28.0,27.1,100918
02:35:17,29.0,28.0,27.1,100922
02:35:47,30.0,28.0,27.1,100918
02:36:18,28.0,28.0,27.1,100918
02:36:49,29.0,28.0,27.1,100916
02:37:19,29.0,28.0,27.1,100911
02:37:50,29.0,28.0,27.1,100910
02:38:22,28.0,28.0,27.1,100909
02:38:52,26.0,28.0,27.1,100909
02:39:23,29.0,28.0,27.1,100910
02:39:54,30.0,28.0,27.1,100914
02:40:24,30.0,28.0,27.1,100909
02:40:55,29.0,28.0,27.1,100916
02:41:26,30.0,28.0,27.1,100913
02:41:57,30.0,28.0,27.1,100914
02:42:27,28.0,28.0,27.1,100909
02:42:58,29.0,28.0,27.1,100912
02:43:29,30.0,28.0,27.1,100915
02:43:59,30.0,28.0,27.1,100914
